,old_HSH 100 lb,new_HSH 100 lb,HSH 60 lb,HSH MIX,COM 100 lb,COM 20 lb,COM 60 lb,COM MIX,CAMP GAS,HSH BULK,MOTOR FUEL,COM BULK
20220423,60,,0,0,1,431,0,115,0,4814,392.767,4025
20220425,246,,0,0,7,408,0,0,0,2921,1209.0389999999998,39918
20220426,240,,0,0,11,493,2,170,0,3561,1207.4140000000002,50789
20220427,2,,0,0,0,0,0,0,0,50,0,31474
20220428,214,,0,20,25,379,0,80,0,4834,952.938,30097
20220429,253,,0,0,20,491,0,40,0,746,588.019,34089
20220430,98,,0,0,2,500,0,120,0,3043,478.839,2021
20220501,0,,0,0,0,0,0,0,0,0,0,1178
20220502,0,,0,0,0,0,0,0,0,60,0,39292
20220503,267,,0,0,14,625,0,110,0,5949,1489.36,38893
20220504,331,,0,20,23,350,2,5,0,3843,1061.068,43017
20220505,219,,0,0,11,352,0,40,0,3938,1029.577,36734
20220506,203,,0,0,19,381,0,160,0,2399,801.7629999999999,35248
20220507,59,,0,0,0,390,0,40,0,0,243.44,300
20220509,330,,0,20,18,370,1,75,0,2266,1545.2939999999999,38974
20220510,287,,0,0,9,315,0,40,0,380,579.475,37657
20220511,228,,0,40,12,304,3,10,0,2053,837.173,41981
20220512,247,,0,0,10,314,0,70,0,1814,1260.412,36684
20220513,365,,0,0,14,341,0,30,0,2825,629.295,34610
20220514,65,,0,0,1,350,0,95,0,0,755.607,0
20220516,253,,0,0,7,321,0,10,0,2965,2110.417,41249
20220517,217,,0,0,12,297,0,40,0,4515,715.1110000000001,40428
20220518,206,,0,0,14,263,0,80,1,2255,287.042,40995
20220519,218,,1,0,22,257,2,60,0,2007,799.1959999999999,36007
20220520,250,,0,0,16,335,0,80,0,2013,704.2639999999999,33632
20220521,75,,0,0,1,358,0,80,0,0,585.378,0
20220523,263,,0,0,16,409,0,40,0,1501,1088.782,40247
20220524,256,,0,20,12,363,0,120,0,3564,737.8639999999999,40334
20220525,243,,0,0,12,437,3,140,0,320,947.203,50414
20220527,265,,0,0,22,573,0,0,0,812,855.518,48077
20220528,65,,0,0,1,343,0,40,0,1292,95.722,1334
20220530,177,,0,0,16,403,0,80,0,3890,1042.529,38762
20220531,261,,0,40,6,364,0,10,0,2575,854.994,44377
20220601,228,,0,0,15,306,2,140,0,2990,1200.8319999999999,35886
20220602,248,,0,0,17,314,0,0,0,3003,675.506,39784
20220603,220,,0,0,17,398,0,65,0,2247,733.248,40178
20220604,76,,0,0,2,409,0,40,2,0,642.251,0
20220605,0,,0,0,0,0,0,0,0,0,0,100
20220606,275,,0,0,13,359,3,5,0,2797,1487.997,39090
20220607,219,,0,0,13,317,0,75,0,1817,752.541,45038
20220608,224,,0,0,17,296,0,15,0,2255,1036.679,35729
20220609,225,,0,0,14,263,0,55,0,1952,1237.529,34811
20220610,225,,0,0,16,347,0,80,0,1025,874.8720000000001,32897
20220611,69,,0,0,3,312,3,55,0,1647,372.02700000000004,1863
20220613,234,,0,0,8,432,0,70,0,380,1227.484,37744
20220614,231,,0,0,3,297,0,25,0,3326,582.4549999999999,42275
20220615,217,,0,0,19,306,0,45,0,3204,669.951,37782
20220616,208,,0,0,12,279,0,50,0,1821,668.9870000000001,35475
20220617,216,,0,20,16,286,0,75,0,1090,1127.0320000000002,34777
20220618,68,,0,0,1,362,3,75,0,2969,683.168,2200
20220620,172,,0,20,7,337,0,0,0,1930,1179.2330000000002,41092
20220621,231,,0,0,12,339,0,70,0,4113,666.055,41861
20220622,205,,0,0,25,273,0,40,0,3469,1087.25,38086
20220623,223,,0,0,16,266,0,65,0,401,646.408,32000
20220624,171,,0,0,18,378,0,30,0,2509,727.474,34301
20220625,74,,0,0,3,429,3,70,0,338,263.556,701
20220627,208,,0,0,12,399,0,120,0,4102,1118.096,43594
20220628,292,,0,20,16,582,0,50,0,3806,1280.26,58052
20220629,229,,0,0,13,550,0,0,0,2495,905.287,30839
20220630,182,,0,0,19,242,0,100,0,2733,762.9739999999999,33042
20220701,249,,0,0,10,396,0,90,0,1988,477.53900000000004,31074
20220702,80,,0,0,4,398,0,80,0,0,231.79,0
20220704,273,,0,0,12,385,0,30,0,1971,1024.8709999999999,40574
20220705,236,,0,0,6,327,3,110,0,5178,923.694,41771
20220706,200,,0,0,24,292,0,0,0,3371,918.469,38925
20220707,241,,0,20,13,301,0,5,0,1727,622.363,36451
20220708,237,,0,0,15,332,0,80,0,2355,1394.807,31570
20220709,63,,0,20,0,50,0,100,0,0,210.812,201
20220711,248,,0,0,18,428,0,115,0,1804,1458.4120000000003,41223
20220712,214,,0,20,15,293,0,120,0,2811,651.419,44527
20220713,213,,0,0,14,264,0,10,0,710,1108.855,40453
20220714,217,,0,20,12,252,2,40,1,2186,699.655,30544
20220715,208,,0,0,20,280,0,60,0,2047,1055.218,44273
20220716,45,,0,0,1,280,0,70,0,0,361.059,1067
20220718,154,,0,0,13,347,0,40,0,1625,763.203,42211
20220719,240,,0,0,12,287,0,10,0,3291,783.972,40996
20220720,225,,0,0,14,288,0,5,0,2055,1362.96,36425
20220721,168,,0,0,12,263,0,25,0,1654,860.17,33600
20220722,235,,0,0,18,349,2,30,0,418,958.209,34770
20220723,56,,0,0,1,383,0,70,0,0,443.384,0
20220725,192,,0,0,17,394,2,10,0,1875,1580.2869999999998,44689
20220726,235,,0,0,14,318,0,77,0,1494,805.8050000000001,46517
20220727,223,,0,0,19,274,0,210,0,2934,1020.0039999999999,43395
20220728,167,,0,0,10,273,0,10,0,1818,1122.2939999999999,34680
20220729,203,,0,0,18,390,0,70,0,4770,1278.098,32164
20220730,56,,0,20,5,366,0,55,0,0,59.932,0
20220801,188,,0,0,8,367,0,30,0,961,1006.928,49811
20220802,240,,0,0,10,329,3,15,0,300,739.2370000000001,41776
20220803,234,,0,0,15,308,0,0,0,3518,442.60100000000006,37587
20220804,221,,0,20,14,282,0,0,0,1195,1266.352,34777
20220805,216,,0,0,18,398,0,40,0,859,942.6129999999999,35173
20220806,58,,0,0,1,378,0,80,0,1394,703.574,1360
20220808,198,,0,0,9,380,0,5,0,1266,924.381,42663
20220809,232,,0,0,15,300,0,120,0,2773,742.186,42081
20220810,234,,0,0,15,247,0,20,0,5753,833.841,41452
20220811,229,,0,0,12,241,0,239,0,1598,582.576,32048
20220812,214,,0,0,21,305,3,40,0,1855,1250.058,36799
20220813,44,,0,0,3,295,0,55,0,0,375.551,6100
20220815,182,,0,20,6,360,0,5,0,1522,1172.105,47036
