date,1,2,3A,3B,4,5,6,Delivered,
20221210,106,217,128,162,126,93,135,131,
20221212,110,182,98,96,117,112,115,198,
20221213,105,221,64,161,94,133,141,198,
20221214,130,192,92,213,134,81,100,198,
20221215,89,153,125,107,91,111,126,198,
20221216,117,112,134,136,107,59,73,208,
20221217,89,211,111,171,91,111,126,132,
20221219,103,142,89,98,99,85,108,198,
20221220,72,184,53,143,63,103,136,236,
20221221,106,102,84,190,98,61,99,259,
20221222,56,132,31,54,55,87,125,201,
20221223,83,83,65,170,77,26,69,150,
20221227,59,99,74,112,50,40,83,194,
20221228,91,50,88,84,68,55,29,198,
20221229,41,72,30,168,15,79,40,208,
20221230,65,25,51,110,41,22,16,206,
