date,1,2,3A,3B,4,5,6,
20210113,65,,,66,66,,,
20210114,,66,,66,,,66,
20210115,65,,66,,66,,,
20210118,65,,,132,,,,
20210119,,66,,,,65,65,
20210120,66,,,66,65,,,
20210121,,66,,,,64,65,
20210122,35,,65,66,36,,,
20210126,,100,,,,36,60,
20210127,65,,,66,65,,,
20210128,,66,70,,,36,36,
20210129,66,,,66,65,,,
20210201,65,,66,66,65,,,
20210202,,132,,,,65,66,
20210203,65,,65,65,65,,,
20210204,,65,,,,65,65,
20210205,65,,,66,65,,,
20210208,,,66,66,65,,,
20210209,,66,,,,65,65,
20210210,65,,66,66,65,,,
20210211,,66,,,,61,66,
20210212,65,,65,66,65,,,
20210216,,126,,,,,65,
20210217,66,,66,66,65,,,
20210218,,66,,,,65,66,
20210219,66,,66,66,65,,,
20210222,36,,66,66,37,,,
20210223,,102,,,,37,66,
20210224,38,,66,66,38,,,
20210225,,66,,,,64,66,
20210226,65,,,66,66,,,
20210301,37,,66,66,37,,,
20210303,66,,,66,66,,,
20210304,,66,,,,66,66,
20210305,66,,66,,66,,,
20210308,66,,,66,66,,,
20210309,,66,,,,66,66,
20210310,66,,66,66,66,,,
20210311,,132,,,,65,66,
20210312,66,,66,66,66,,,
20210315,66,,,66,65,,,
20210316,,130,,,,,66,
20210319,,,37,131,36,,,
20210319,,,37,131,36,,,
20210322,37,,16,50,36,,,
20210323,,66,,,,65,66,
20210324,66,,66,,65,,,
20210325,,65,,,,65,67,
20210326,66,,,66,66,,,
20210326,66,,,66,66,,,
20210329,35,,66,66,35,,,
20210330,,132,,,,65,65,
20210331,66,,,130,65,,,
20210401,,66,,,,65,132,
20210406,,66,,,65,35,33,
20210407,66,,66,66,,,,
20210408,,66,,,,65,66,
20210409,66,,,66,66,,,
20210412,66,,66,,65,,,
20210413,,66,,,,65,66,
20210414,65,,66,68,66,,,
20210415,,134,,,,,66,
20210416,65,,,132,66,,,
20210419,65,,66,66,66,,,
20210420,,132,,,,66,66,
20210421,65,,66,66,66,,,
20210422,,66,,,,66,132,
20210423,66,,65,66,,,,
20210426,66,,,66,66,,,
20210428,66,,65,,66,,,
20210429,,131,,,,66,66,
20210430,65,,,67,66,,,
20210503,30,,35,67,66,,,
20210504,,102,,,,66,66,
20210505,66,,,105,65,,,
20210506,,66,,,,65,102,
20210507,66,,65,43,65,,,
20210510,,,66,66,66,,,
20210511,,67,,,,66,67,
20210512,66,,,66,66,,,
20210514,65,,66,66,,,,
20210517,36,,61,66,36,,,
20210518,,133,,,,66,67,
20210519,66,,,66,66,,,
20210520,,135,,,,66,68,
20210521,37,,67,68,36,,,
20210524,,66,43,25,35,36,,
20210525,,66,,,,66,102,
20210526,65,,,66,66,,,
20210528,66,,66,66,,,,
20210528,61,,,66,66,,,
20210601,,131,,,,66,66,
20210602,65,,66,,66,,,
20210603,,101,,,,66,66,
20210604,66,,,66,66,,,
20210607,66,,66,66,66,,,
20210608,,102,,,,,132,
20210609,66,,66,66,37,,,
20210610,,66,,,,66,66,
20210611,66,,,66,66,,,
20210614,66,,66,66,,,,
20210615,,66,,,,63,66,
20210616,,,66,66,66,,,
20210617,,102,,,,36,66,
20210618,66,,,66,66,,,
20210621,34,,37,37,37,,,
20210622,,66,,,,37,37,
20210623,66,,,66,66,,,
20210624,,101,,,,37,65,
20210625,35,,35,,35,,,
20210628,,,66,66,,,,
20210629,,66,,,,,66,
20210630,66,,,66,66,,,
20210701,,66,,,,66,66,
20210702,66,,66,,66,,,
20210705,,,65,66,66,,,
20210706,,66,,,,66,66,
20210707,65,,66,,65,,,
20210708,,65,,,,65,66,
20210709,66,,,66,66,,,
20210712,35,,37,130,,,,
20210713,,66,,,,66,66,
20210714,66,,66,,66,,,
20210715,,102,,,,36,66,
20210716,66,,,66,66,,,
20210719,37,,36,66,,,,
20210720,,66,,,,66,65,
20210721,66,,,66,66,,,
20210722,,65,,,,36,36,
20210723,66,,66,,66,,,
20210726,34,,36,66,33,30,,
20210727,,66,,,,,66,
20210728,66,,,66,66,,,
20210729,,66,,,,36,36,
20210730,66,,66,66,,,,
20210802,,,,66,66,,,
20210803,,66,,,,36,66,
20210804,66,,,66,67,,,
20210805,,66,,,,66,66,
20210806,60,,66,,66,,,
20210809,65,,,66,66,,,
20210810,,101,,,,36,66,
20210811,60,,66,66,66,,,
20210812,,66,,,,66,66,
20210813,36,,66,66,36,,,
20210816,37,,37,66,37,,,
20210817,,66,,,,61,66,
20210818,66,,,66,66,,,
20210819,,66,,,,6,62,
20210823,,,45,20,66,,,
20210824,,66,,,,66,60,
20210825,67,,,68,60,,,
20210826,,66,,,,,66,
20210827,66,,66,66,,,,
20210830,31,,64,,100,,,
20210831,,66,,,,66,66,
20210901,66,,,66,,,,
20210902,,67,,,,65,68,
20210903,,,66,66,66,,,
20210906,66,,,66,66,,,
20210907,,132,,,,,65,
20210908,66,,66,,66,,,
20210909,,66,,,,66,66,
20210910,,,,132,66,,,
20210913,66,,66,,66,,,
20210914,,66,,,,66,66,
20210915,66,,,68,66,,,
20210916,,66,,,,66,66,
20210917,60,,66,66,,,,
20210920,,,,67,60,,,
20210922,66,,,66,,,,
20210923,,102,,,26,41,37,
20210924,63,,67,66,,,,
20211022,66,,66,36,36,,,
20211027,60,,,66,60,,,
20211028,,66,,,3,48,66,
20211029,37,,66,37,60,,,
20211101,,,37,67,37,,,
20211102,,103,,,,37,66,
20211103,65,,66,,66,,,
20211104,,129,,,,38,102,
20211105,66,,,132,66,,,
20211108,37,,66,66,37,,,
20211109,,66,,,,66,66,
20211110,66,,,66,66,,,
20211111,,66,,,,66,66,
20211112,66,,66,66,66,,,
20211115,65,,66,67,66,,,
20211116,,103,,,,66,103,
20211117,67,,42,91,66,,,
20211118,,66,,,28,35,63,
20211119,66,,37,67,37,,,
20211122,37,,20,46,36,,,
20211123,,99,,,,37,66,
20211124,66,,,66,66,,,
20211125,,66,,,,66,66,
20211126,65,,66,66,,,,
20211129,,,57,69,66,,,
20211130,,66,,,,66,66,
20211201,65,,,66,132,,,
20211202,,132,,,,66,131,
20211203,66,,66,67,66,,,
20211206,65,,65,100,101,,,
20211207,,132,,,,66,129,
20211208,66,,64,131,66,,,
20211209,,103,,,,67,103,
20211210,66,,65,66,132,,,
20211213,66,65,37,30,,,,
20211214,,132,,,,66,126,
20211215,130,,,70,129,,,
20211216,,102,,,,102,65,
20211217,66,,65,66,66,,,
20211220,36,,63,100,66,,,
20211221,,100,,,,66,103,
20211221,,100,,,,66,103,
20211222,66,,66,66,66,,,
20211223,,66,,,,62,66,
20211224,36,,35,36,36,,,
20211227,62,,22,43,66,,,
20211228,,66,,,,36,36,
20211229,37,,2,60,37,,,
20211230,,66,,,,38,38,
20211231,35,,35,,35,,,
20220103,30,,42,30,34,,,
20220104,,37,,,22,48,37,
20220105,66,,36,66,36,,,
20220106,,66,,,,10,66,
20220107,66,,3,63,66,,,
20220110,60,,64,66,,,,
20220111,,66,,,,65,66,
20220112,37,,36,66,66,,,
20220113,,102,,,,37,66,
20220114,66,,,63,66,,,
20220118,,102,,,,37,66,
20220119,64,,1,65,67,,,
20220120,,66,,,,37,66,
20220121,37,,66,66,37,,,
20220124,37,,32,66,,,,
20220126,37,,,36,66,,,
20220127,,65,,,,66,66,
20220128,35,,65,66,34,,,
20220131,36,,35,,36,36,,
20220201,,103,,,,,104,
20220202,66,,66,66,66,,,
20220203,,102,,,,66,102,
20220204,66,,,66,66,,,
20220207,,,45,23,66,,,
20220208,,66,,,,66,66,
20220209,66,,,66,66,,,
20220210,,102,,,,66,97,
20220211,66,,36,,66,,,
20220214,35,,36,66,,,,
20220215,,66,,,,36,66,
20220216,67,,66,66,66,,,
20220217,,66,,,,36,36,
20220218,66,,34,66,36,,,
20220221,31,,,66,34,,,
20220222,,66,,,,37,36,
20220223,60,,37,66,37,,,
20220224,,66,,,,66,60,
20220225,8,,64,66,66,,,
20220301,66,,,,,36,37,
20220302,60,,4,62,66,,,
20220303,,66,,,,63,66,
20220304,66,,66,,66,,,
20220307,66,,,66,66,,,
20220308,,132,,,,36,36,
20220309,37,,66,66,37,,,
20220310,,66,,,,66,66,
20220311,65,,,66,66,,,
20220314,66,,66,66,66,,,
20220315,,102,,,,66,102,
20220316,37,,65,66,37,,,
20220317,,65,,60,,37,66,
20220321,66,,66,37,66,,,
20220322,,66,,,,62,63,
20220323,38,,37,132,38,,,
20220324,,66,,,,37,66,
20220325,66,,,66,66,,,
20220328,66,,65,11,66,,,
20220329,,102,,,,36,66,
20220330,37,,65,66,38,,,
20220331,,100,,,,37,66,
20220401,68,,,67,66,,,
20220404,66,,65,66,,,,
20220405,,66,,,,66,66,
20220406,66,,,67,66,,,
20220407,,102,,,,36,66,
20220408,37,,66,67,37,,,
20220411,66,,,66,66,,,
20220412,,66,,,,66,66,
20220413,65,,66,66,66,,,
20220419,,59,,37,,,33,
20220420,66,,,66,65,,,
20220421,,63,,,14,49,66,
20220422,38,,66,66,36,,,
20220425,66,,38,66,38,,,
20220426,,66,,,14,54,66,
20220428,,36,,,,36,66,
20220429,40,,66,67,37,,,
20220503,,66,,,38,38,66,
20220504,66,,66,101,66,,,
20220505,,66,,,,66,66,
20220506,66,,,100,66,,,
20220509,66,,66,66,,,,
20220510,,131,,,36,36,66,
20220511,66,,66,,66,,,
20220512,,66,,66,,66,66,
20220513,66,,65,66,66,,,
20220516,66,,,66,66,,,
20220517,,66,,,,,65,
20220518,66,,66,,66,,,
20220519,,102,,,,38,66,
20220520,66,,4,127,,,,
20220523,36,,61,36,66,,,
20220524,,104,,,,38,66,
20220525,66,,,66,66,,,
20220527,40,,66,66,23,,,
20220530,33,,22,39,35,,,
20220531,,104,,,,37,66,
20220601,66,,,66,66,,,
20220602,,66,,,,66,66,
20220603,,,66,66,66,,,
20220606,67,,35,65,36,,,
20220607,,102,,,,38,66,
20220608,66,,,66,66,,,
20220609,,66,,,,66,68,
20220610,39,,66,66,,38,,
20220613,66,,37,60,37,,,
20220614,,66,,,,66,65,
20220615,66,,,66,66,,,
20220616,,66,,,,66,66,
20220617,37,,66,66,37,,,
20220620,38,,41,25,36,,,
20220621,,104,,,,35,66,
20220622,67,,37,66,37,,,
20220623,,66,,,5,60,66,
20220624,36,,62,5,36,,,
20220627,36,,3,63,36,,,
20220628,,101,,,,36,65,
20220629,66,,66,,66,,,
20220701,,,66,,,,66,
20220704,66,,,66,66,,,
20220705,,65,,,,65,65,
20220706,36,,65,65,36,,,
20220707,,65,,,,65,65,
20220708,65,,,66,65,,,
20220711,36,,65,66,35,,,
20220712,,131,,,,36,36,
20220713,38,,66,66,38,,,
20220714,,66,,,,38,104,
20220715,37,,37,66,66,,,
20220718,37,,35,37,37,,,
20220720,66,,2,64,66,,,
20220721,,66,,,,36,36,
20220722,66,,66,,66,,,
20220725,,,33,66,22,15,,
20220726,,101,,,,38,66,
20220727,65,,,66,66,,,
20220728,,66,,,,36,36,
20220729,65,,66,66,,,,
20220801,,,,66,66,,,
20220802,,66,,,,65,66,
20220803,66,,,66,66,,,
20220804,,66,,,,66,66,
20220805,36,,66,66,36,,,
20220808,37,,25,45,36,,,
20220809,,102,,,,36,66,
20220810,66,,,66,66,,,
20220811,,66,,,,62,66,
20220812,37,,66,66,36,,,
20220815,36,,38,36,37,,,
20220816,,65,,,,35,103,
20220817,65,,,65,65,,,
20220818,,66,,,,30,37,
20220819,68,,66,66,,,,
20220822,36,,36,36,36,,,
20220823,,66,,,,36,37,
20220824,66,,,68,66,,,
20220825,,99,,,,37,66,
20220826,36,,66,66,36,,,
20220830,,66,,,,66,66,
20220831,36,,66,66,38,,,
20220901,,103,,,,37,66,
20220902,66,,,66,66,,,
20220905,37,,66,66,37,,,
20220906,,66,,,,36,102,
20220907,66,,1,66,66,,,
20220908,,66,,,,66,66,
20220909,66,,4,63,66,,,
20220914,66,,56,12,66,,,
20220915,,60,,,,37,38,
20220916,36,,66,66,36,,,
20220919,34,,,66,38,,,
20220920,,60,,,14,53,60,
20220921,38,,65,65,38,,,
20220922,38,38,,,,33,36,
20220923,,,34,38,66,,,
20220926,38,,,36,66,,,
20220927,,97,,,,36,66,
20220928,38,,63,66,38,,,
20220929,,66,,,,64,61,
20220930,66,,1,66,66,,,
20221003,38,,66,,36,,,
20221004,,101,,,,37,66,
20221005,66,,,132,66,,,
20221006,,66,,,,66,66,
20221007,38,,66,66,38,,,
20221010,38,,38,66,66,,,
20221011,,102,,,,37,66,
20221012,38,,66,66,38,,,
20221013,,66,,,7,57,66,
20221014,66,,,66,66,,,
20221017,36,,66,36,,,,
20221018,,95,,,,38,66,
20221019,66,,6,60,66,,,
20221020,,66,,,,36,36,
20221021,38,,61,66,38,,,
20221024,60,,,35,31,,,
20221025,,65,,,14,46,66,
20221026,38,,66,66,38,,,
20221027,,66,,,,32,66,
20221028,37,,37,66,66,,,
20221031,38,,15,51,37,,,
20221101,,104,,,,38,66,
20221102,66,,66,66,66,,,
20221103,,132,,,,66,66,
20221104,66,,40,66,66,,,
20221107,66,,66,66,66,,,
20221108,,132,,,,66,66,
20221109,66,,66,66,66,,,
20221110,,66,,,,66,132,
20221111,66,,66,66,38,,,
20221112,,66,,,66,,66,
20221114,66,,66,66,66,,,
20221116,36,,66,65,36,,,
20221117,,66,,,,66,66,
20221118,66,,2,66,66,,,
20221119,,66,,66,,,66,
20221121,66,,66,66,66,,,
20221122,,132,,,,66,66,
20221123,65,,,66,66,,,
20221124,,66,,,,66,130,
20221125,66,,,65,65,,,
20221126,,,66,65,66,,,
20221128,65,,65,,66,,,
20221129,0,65,,,,66,66,
20221130,65,,,65,65,,,
20221201,,65,,,,65,65,
20221202,66,,66,67,,,,
20221203,,,,66,66,,64,
20221205,66,,66,,66,,,
20221206,,66,,,,66,66,
20221207,66,,66,66,,,,
20221208,,132,,,,10,66,
20221209,66,,,66,66,,,
20221210,,,65,66,,,,
20221212,66,,66,,66,,,
20221213,,66,,,,66,66,
20221214,66,,,66,66,,,
