,old_HSH 100 lb,new_HSH 100 lb,HSH 60 lb,HSH MIX,COM 100 lb,COM 20 lb,COM 60 lb,COM MIX,CAMP GAS,HSH BULK,MOTOR FUEL,COM BULK
20220516,253,,,,7,321,,10,,2965,2110.417,41249
20220517,217,,,,12,297,,40,,4515,715.111,40428
20220518,206,,,,14,263,,80,1,2255,287.042,40995
20220519,218,,1,,22,257,2,60,,2007,799.196,36007
20220520,250,,,,16,335,,80,,2013,704.264,33632
20220521,75,,,,1,358,,80,,,585.378,
20220523,263,,,,16,409,,40,,1501,1088.782,40247
20220524,256,,,20,12,363,,120,,3564,737.864,40334
20220525,243,,,,12,437,3,140,,320,947.203,50414
20220527,265,,,,22,573,,,,812,855.518,48077
20220528,65,,,,1,343,,40,,1292,95.722,1334
20220530,177,,,,16,403,,80,,3890,1042.529,38762
20220531,261,,,40,6,364,,10,,2575,854.994,44377
20220601,228,,,,15,306,2,140,,2990,1200.832,35886
20220602,248,,,,17,314,,,,3003,675.506,39784
20220603,220,,,,17,398,,65,,2247,733.248,40178
20220604,76,,,,2,409,,40,2,,642.251,
20220605,,,,,,,,,,,,100
20220606,275,,,,13,359,3,5,,2797,1487.997,39090
20220607,219,,,,13,317,,75,,1817,752.541,45038
20220608,224,,,,17,296,,15,,2255,1036.679,35729
20220609,225,,,,14,263,,55,,1952,1237.529,34811
20220610,225,,,,16,347,,80,,1025,874.872,32897
20220611,69,,,,3,312,3,55,,1647,372.027,1863
20220613,234,,,,8,432,,70,,380,1227.484,37744
20220614,231,,,,3,297,,25,,3326,582.455,42275
20220615,217,,,,19,306,,45,,3204,669.951,37782
20220616,208,,,,12,279,,50,,1821,668.987,35475
20220617,216,,,20,16,286,,75,,1090,1127.032,34777
20220618,68,,,,1,362,3,75,,2969,683.168,2200
20220620,172,,,20,7,337,,,,1930,1179.233,41092
20220621,231,,,,12,339,,70,,4113,666.055,41862
20220622,205,,,,25,273,,40,,3469,1087.25,38086
20220623,223,,,,16,266,,65,,401,646.408,32000
20220624,171,,,,18,378,,30,,2509,727.474,34301
20220625,74,,,,3,429,3,70,,338,263.556,701
20220627,208,,,,12,399,,120,,4102,1118.096,43594
20220628,292,,,20,16,582,,50,,3806,1280.26,58052
20220629,229,,,,13,550,,,,2495,905.287,30839
20220630,182,,,,19,242,,100,,2733,762.974,33042
20220701,249,,,,10,396,,90,,1988,477.539,31074
20220702,80,,,,4,398,,80,,,231.79,
20220704,273,,,,12,385,,30,,1971,1024.871,40574
20220705,236,,,,6,327,3,110,,5178,923.694,41771
20220706,200,,,,24,292,,,,3371,918.469,38925
20220707,241,,,20,13,301,,5,,1727,622.363,36451
20220708,237,,,,15,332,,80,,2355,1394.807,31570
20220709,63,,,20,,340,,100,,,210.812,201
20220711,248,,,,18,428,,115,,1804,1458.412,41223
20220712,214,,,20,15,293,,120,,2811,651.419,44527
20220713,213,,,,14,264,,10,,710,1108.855,40453
20220714,217,,,20,12,252,2,40,1,2186,699.655,30544
20220715,208,,,,20,280,,60,,2047,1055.218,44273
20220716,45,,,,1,280,,70,,,361.059,1067
20220718,154,,,,13,347,,40,,1625,763.203,42211
20220719,240,,,,12,287,,10,,3492,783.972,40795
20220720,225,,,,14,288,,5,,2055,1362.96,36425
20220721,168,,,,12,263,,25,,1654,860.17,33600
20220722,235,,,,18,349,2,30,,418,958.209,34770
20220723,56,,,,1,383,,70,,,443.384,
20220725,192,,,,17,394,2,10,,1875,1580.287,44689
20220726,235,,,,14,318,,77,,1494,805.805,46517
20220727,223,,,,19,274,,210,,2934,1020.004,43395
20220728,167,,,,10,273,,10,,1818,1122.294,34680
20220729,203,,,,18,390,,70,,4770,1278.098,32164
20220730,56,,,20,5,366,,55,,,59.932,
20220801,188,,,,8,367,,30,,961,1006.928,49811
20220802,240,,,,10,329,3,15,,300,739.237,41776
20220803,234,,,,15,308,,,,3518,442.601,37587
20220804,221,,,20,14,282,,,,1195,1266.352,34777
20220805,216,,,,18,398,,40,,859,942.613,35173
20220806,58,,,,1,378,,80,,1394,703.574,1360
20220808,198,,,,9,380,,5,,1266,924.381,42663
20220809,232,,,,15,300,,120,,2773,742.186,42081
20220810,234,,,,15,247,,20,,5753,833.841,41452
20220811,229,,,,12,241,,239,,1598,582.576,32048
20220812,214,,,,21,305,3,40,,1855,1250.058,36799
20220813,44,,,,3,295,,55,,,375.551,6100
20220815,182,,,20,6,360,,5,,1522,1172.105,47036
20220816,244,,,20,21,294,,100,,1969,1541.016,35805
20220817,160,,,,10,250,,10,,2111,654.032,36081
20220818,163,,,,17,263,,,,1344,708.075,35764
20220819,197,,,,20,309,,110,,1899,688.986,30013
20220820,54,,,20,2,296,,40,,,273.564,500
20220822,190,,,20,14,362,3,95,,716,1251.572,36242
20220823,162,,1,,8,192,,195,,2040,537.193,36329
20220824,209,,,,27,315,,5,,3200,797.48,40164
20220825,228,,,,16,314,,75,,1307,1187.518,28011
20220826,182,,,,30,354,,70,,3092,1076.86,41758
20220827,70,,,,,394,,90,,,126.828,
20220829,162,,,,7,404,,25,,1204,1106.212,41107
20220830,217,,,,17,323,3,90,,340,653.38,44030
20220831,238,,,,20,283,,,,4207,750.631,38497
20220901,216,,,20,12,313,,10,,1544,881.327,33023
20220902,230,,,,19,351,,25,4,900,711.165,30479
20220903,71,,,,1,370,,110,,,391.681,378
20220905,257,,,,9,364,,105,,1059,1814.497,41765
20220906,228,,,,15,303,,,,3504,760.207,35233
20220907,221,,,,15,260,,120,,1591,682.791,34688
20220908,210,,,,18,252,3,5,,4659,728.79,32127
20220909,201,,,,27,322,,75,,2522,772.037,32713
20220910,57,,,,3,328,,55,,,267.413,
20220912,223,,,,10,368,,80,,2796,841.331,40380
20220913,231,,,,11,317,,185,,902,1153.645,37916
20220914,206,,,,21,234,,70,,3258,733.085,36342
20220915,162,,,,9,261,,95,,910,811.116,34631
20220916,194,,,,19,274,,40,,3621,587.965,31218
20220917,59,,,,4,295,,40,,1564,451.593,351
20220919,172,,,20,7,300,3,70,,1447,1072.385,37477
20220920,213,,,,16,304,,10,2,610,854.322,41737
20220921,208,,,,20,232,,,,956,957.755,37230
20220922,179,,,,15,280,,,,2036,994.127,30602
20220923,165,,,,11,318,,35,,570,623.333,29406
20220924,77,,,,1,391,,110,,5837,284.227,2257
20220926,163,,,,20,394,,100,,1598,1181.766,40709
20220927,224,,,,21,327,3,10,,1655,896.905,39566
20220928,196,,,20,20,271,,,,429,771.699,35956
20220929,229,,1,,12,276,,100,,1381,1019.001,25576
20220930,234,,,,25,365,,55,,1297,754.767,38137
20221001,63,,,,3,485,,40,,,293.647,
20221003,161,,,,13,366,,140,,2186,842.221,38618
20221004,235,,,,19,350,,30,,4050,680.272,40288
20221005,287,,,,13,270,,30,,1354,1668.842,37294
20221006,214,,,,18,287,,40,,981,567.362,31732
20221007,220,,,,17,315,3,,,933,822.289,40200
20221008,73,,,,3,343,,197,,1356,417.942,3204
20221010,247,,,,14,388,,175,,790,1285.069,42796
20221011,223,,,20,15,346,,201,,2369,961.343,39518
20221012,230,,,,24,241,,,,5492,1241.528,37148
20221013,219,,,,13,257,,110,,2420,1068.047,31326
20221014,218,,,,20,331,,35,,750,1205.156,32153
20221015,68,,,,2,318,,10,2,,364.468,200
20221017,152,,,,18,334,3,10,,1638,878.355,41381
20221018,233,,,,10,299,,30,,2720,1049.28,41470
20221019,207,,,,22,241,,225,,1030,1246.086,35766
20221020,149,,,,19,229,,,,814,1271.071,31316
20221021,214,,1,20,24,307,,118,,2288,629.365,31743
20221022,62,,,,3,369,3,45,,,243.794,
20221024,133,,,,8,338,,75,,1569,1003.785,41680
20221025,268,,,,23,281,,90,1,1677,750.824,54445
20221026,210,,,,20,282,,,,1468,627.93,38856
20221027,208,,,,21,275,,60,,2427,748.276,31716
20221028,218,,,,22,366,,40,1,1119,721.338,35008
20221029,114,,,,4,391,,80,,,426.52,
20221031,236,,,20,19,432,,15,,1599,1553.073,41891
20221101,237,,,,18,376,3,35,,1608,1322.737,43371
20221102,280,,,,33,336,,75,,1190,1298.676,37968
20221103,311,,,,18,329,,65,1,1314,1115.085,28969
20221104,359,,,,24,440,,80,,1416,698.318,35928
20221105,152,,,,1,416,,50,,,561.096,
20221107,384,,,,7,405,,70,1,3105,1283.206,40306
20221108,366,,,,23,321,,60,,4522,700.715,43798
20221109,325,,,20,29,311,,,,1430,738.364,36888
20221110,326,,,20,17,319,,45,,2713,1037.71,34386
20221111,306,,,,23,359,4,35,,1600,1247.347,31995
20221112,369,,,,,383,,80,,,787.889,
20221113,,,,,,,,,,,,200
20221114,359,6,,,15,430,,50,,1580,1269.189,42955
20221115,179,54,,,21,309,,160,,2191,902.683,45804
20221116,153,45,,,34,290,,10,4,927,588.718,39462
20221117,162,62,,,27,260,,20,,1632,1023.823,39481
20221118,150,66,,20,24,263,,30,,2491,932.61,30604
20221119,181,45,,,4,286,,80,,150,373.705,380
20221121,201,71,,20,22,362,,110,,2370,1397.875,46080
20221122,212,75,,,12,349,,20,,1985,1074.177,42029
20221123,114,117,,,15,252,,,,4000,1373.149,37584
20221124,187,106,,20,20,282,,60,,60,667.395,35852
20221125,76,141,,,20,322,2,80,,1031,1031.835,32126
20221126,137,116,,20,8,329,,95,,,427.982,100
20221128,66,191,,,14,376,,355,,1572,1466.873,44251
20221129,72,169,,,19,395,1,,,1972,460.099,47055
20221130,27,182,,20,9,338,,30,,1998,748.411,40912
20221201,9,214,,,20,320,2,120,,891,1052.559,35861
20221202,17,183,,20,28,436,,30,,3379,632.927,34629
20221203,20,231,,,10,375,,40,,,558.484,
20221205,4,233,,20,12,411,,40,,2280,1187.716,45030
20221206,2,207,,,28,398,,30,,3939,1350.384,44259
20221207,5,217,,,31,322,3,15,,1724,801.304,41834
20221208,2,204,,,14,261,,,4,273,697.581,36354
20221209,6,164,,,19,332,,30,1,1465,1780.856,37823
20221210,5,188,,,4,368,,70,,150,343.992,1337
20221212,1,243,,,22,450,,35,,3220,1740.048,44738
20221213,,242,,20,18,404,3,150,,1635,859.57,45890
20221214,2,216,,,21,329,,155,,3415,694.4,41219
20221215,1,232,,,24,308,,,,907,557.189,36438
20221216,4,246,,20,30,444,,120,1,3587,782.706,31389
20221217,,204,,20,6,339,,40,1,,754.22,
20221219,,277,,,19,478,,40,,476,973.783,44250
20221220,4,299,,,18,508,,15,,2600,1242.046,48416
20221221,1,290,,,34,481,3,120,,2115,820.054,39128
20221222,2,314,,,37,568,,15,,4173,626.278,42687
20221223,1,228,,20,16,453,,70,,1202,805.644,38853
20221224,,58,,20,2,432,,50,,767,235.752,6352
20221225,,,,,,,,,,,,530
20221226,,,,,,,,,,,,33852
20221227,1,253,,,20,455,,120,,380,1950.965,43372
20221228,1,221,,,14,413,,,,581,1100.443,43403
20221229,,246,,,27,342,,115,,1372,669.119,39790
20221230,,220,,,32,481,,75,,913,902.305,32191
20221231,,22,,,,141,,40,,450,92.858,6890
